Course,Site,Free?
Lean Startup: Primeiros passos da sua startup enxuta -  Básico,https://www.alura.com.br/,No
Marketing digital: O primeiro passo antes de criar um site -  Básico,https://www.alura.com.br/,No
Inbound marketing: Email marketing da segmentação ao AB -  Básico,https://www.alura.com.br/,No
Marketing digital: Medindo os resultados do seu site -  Básico,https://www.alura.com.br/,No
Marketing digital: Introdução aos canais não pagos -  Básico,https://www.alura.com.br/,No
Marketing Digital: Introdução aos canais pagos -  Básico,https://www.alura.com.br/,No
Excel: Domine o editor de planilhas mais famoso do mundo -  Básico,https://www.alura.com.br/,No
"Excel II: Tabelas dinâmicas, validação e mais funções -  Intermediário",https://www.alura.com.br/,No
Excel III: Avançando em funções e criando suas macros -  Intermediário,https://www.alura.com.br/,No
Métodos Ágeis: Introdução -  Básico,https://www.alura.com.br/,No
Scrum: Agilidade em seu projeto -  Intermediário,https://www.alura.com.br/,No
SEO I: Rankeie bem no Google -  Básico,https://www.alura.com.br/,No
SEO II: Mais técnicas para rankeamento -  Básico,https://www.alura.com.br/,No
SEO III: Métricas e Relatórios SEO -  Intermediário,https://www.alura.com.br/,No
Google Adwords: publicando minha primeira campanha -  Básico,https://www.alura.com.br/,No
Google Adwords: Otimizando seus resultados -  Intermediário,https://www.alura.com.br/,No
UML: Uma introdução à modelagem -  Básico,https://www.alura.com.br/,No
Concursos: noções básicas de informática -  Básico,https://www.alura.com.br/,No
Inglês: Candidate-se a vagas no exterior -  Básico,https://www.alura.com.br/,No
LinkedIn: Como fazer o seu perfil trabalhar para você -  Básico,https://www.alura.com.br/,No
Business Model Canvas parte I :  Um modelo poderoso para o seu negócio -  Básico,https://www.alura.com.br/,No
Business Model Canvas parte II :  Avance no seu modelo de negócios -  Básico,https://www.alura.com.br/,No
Certificação ITIL Foundation 1: Introdução ao gerenciamento de TI -  Básico,https://www.alura.com.br/,No
Certificação ITIL Foundation 2: Estratégias e desenho de serviços -  Básico,https://www.alura.com.br/,No
Certificação ITIL Foundation 3: Operação e Transição de serviço -  Básico,https://www.alura.com.br/,No
Certificação ITIL Foundation 4: Melhoria contínua de serviço -  Básico,https://www.alura.com.br/,No
Certificação PMP e CAPM: Processos de gerenciamento de projetos Parte 1 -  Básico,https://www.alura.com.br/,No
Marketing de Conteúdo: Uma introdução ao Marketing de valor -  Básico,https://www.alura.com.br/,No
Social Media Marketing: como fazer marketing nas redes sociais -  Básico,https://www.alura.com.br/,No
Facebook Marketing: Como impulsionar a sua marca criando uma Fanpage -  Básico,https://www.alura.com.br/,No
Instagram Marketing: Promova seu perfil e conquiste mais audiência -  Básico,https://www.alura.com.br/,No
Twitter: uma ferramenta para ganhar visibilidade profissional. -  Básico,https://www.alura.com.br/,No
WordPress: Primeiros passos para não programadores -  Básico,https://www.alura.com.br/,No
"WordPress I: hospedagem, administração e widgets -  Intermediário",https://www.alura.com.br/,No
" WordPress II: páginas, temas e boas práticas -  Intermediário",https://www.alura.com.br/,No
Wordpress: Criação de um tema do zero -  Intermediário,https://www.alura.com.br/,No
Shopify I: Colocando sua loja online no ar -  Básico,https://www.alura.com.br/,No
Shopify II: Customizações e ajustes para a sua loja online -  Básico,https://www.alura.com.br/,No
Gestalt: aplicando princípios em um layout Photoshop -  Básico,https://www.alura.com.br/,No
Identidade Visual I: do briefing ao papel -  Básico,https://www.alura.com.br/,No
Identidade Visual II: Digitalizando logos -  Básico,https://www.alura.com.br/,No
Illustrator: criação de ilustração vetorial -  Básico,https://www.alura.com.br/,No
Photoshop para web I: desenhando suas páginas -  Básico,https://www.alura.com.br/,No
Photoshop para web II: layouts avançados -  Básico,https://www.alura.com.br/,No
Email marketing: design do seu email -  Básico,https://www.alura.com.br/,No
Facebook: criação de imagens e anúncios -  Básico,https://www.alura.com.br/,No
Illustrator: crie layouts fantásticos para a web -  Básico,https://www.alura.com.br/,No
Animate (Flash): animações em swf e HTML5 -  Intermediário,https://www.alura.com.br/,No
InDesign: criação de folhetos e folders -  Básico,https://www.alura.com.br/,No
Design editorial: Criação de materiais gráficos -  Básico,https://www.alura.com.br/,No
Indesign: diagramação no dia a dia de um projeto -  Básico,https://www.alura.com.br/,No
CorelDraw: Criando arte para o mundo impresso -  Básico,https://www.alura.com.br/,No
Photoshop: Fundamentos de Desenho -  Básico,https://www.alura.com.br/,No
Screenflow: Crie seus screencasts e vídeos -  Básico,https://www.alura.com.br/,No
Introdução ao After Effects -  Básico,https://www.alura.com.br/,No
After Effects I: Aprendendo a fazer animações 2D -  Básico,https://www.alura.com.br/,No
After Effects II: Avançando na criação de animações 2D -  Básico,https://www.alura.com.br/,No
Criação em Photoshop: Produzindo telas para vídeos -  Básico,https://www.alura.com.br/,No
Premiere: Introdução a edição de videos -  Básico,https://www.alura.com.br/,No
Blender 3D: Modelagem no mundo real -  Básico,https://www.alura.com.br/,No
3ds Max: Modelagem para jogos -  Básico,https://www.alura.com.br/,No
"3D Softimage: Modelagem, Texturização e Iluminação -  Básico",https://www.alura.com.br/,No
Ilustração 3D com Softimage I: Criação de personagem -  Básico,https://www.alura.com.br/,No
"Ilustração 3D com Softimage II: Esqueleto, materiais e ambientação -  Básico",https://www.alura.com.br/,No
"Animação 3D com Softimage: Rigging, Controladores e Constrains -  Básico",https://www.alura.com.br/,No
Revit: Introdução à Arquitetura com a plataforma BIM -  Básico,https://www.alura.com.br/,No
Fotografia: técnicas de composição -  Básico,https://www.alura.com.br/,No
